vw_exporter_name,QUANTITY,UNIT_QUANTITY,PRODUCT_DESCRIPTION,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY
ANNORA,11328,PAC,LEVETIRACETAM 750MG TABS (PACK OF 120 NOS) (1359360 TABS) (GST INV NO: SI3619000074 DT: 23.09.2019),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11568,NOS,LEVETIRACETAM 750MG TABS (120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,42408,PAC,LEVETIRACETAM 1000MG TABS (60'S PACK) RI,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,5064000,NOS,LEVETIRACETAM 500MG TABS (10128X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11466,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML (LEVETIRACETAM 100MG/ML SOLUTION) 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11430,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML (LEVETIRACETAM 100MG/ML SOLUTION) 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,5077440,NOS,LEVETIRACETAM 500MG TABS (42312X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11466,NOS,LEVETIRACETAM 100MG/ML SOLUTION (LEVETIRACETAM ORAL SOLUTION USP 100MG/ML 473MLPACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,1776,NOS,LEVETIRACETAM 250MG TABS(BATCH NOS:OA210587A )(888000 TABS),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,637920,NOS,LEVETIRACETAM 1000MG TABS (10632X60'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,960,NOS,LEVETIRACETAM250MG TABS(BATCH NOS:OA210585A )(480000 TABS),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,4248,PAC,LEVETIRACETAMORALSOLUTION100MG/ML(473ML),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,5049,PAC,LEVETIRACETAMORALSOLUTION100MG/ML(473ML),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11142,PAC,LEVETIRACETAMORALSOLUTION100MG/ML(473ML)LEVETIRACETAM 100MG/ML SOLUTION NDC.: 31722-574-47,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,7128,PAC,LEVETIRACETAM 250MG TABS (PACK OF 120 NOS) (855360 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,4992,PAC,LEVETIRACETAM 500MG TABS,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11592,PAC,LEVETIRACETAM 750MG TABS (PACK OF 120 NOS) (1391040 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,5016,PAC,LEVETIRACETAM 500MG TABS (PACK OF 500 NOS) (2508000 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,21072,PAC,LEVETIRACETAM 500MG TABS (PACK OF 120 NO,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,20904,PAC,LEVETIRACETAM 500MG TABS (120'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,15168,NOS,LEVETIRACETAM 500MG TABS (500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11457,NOS,"LEVETIRACETAM 100MG/ML SOLUTION, 473ML P",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2796480,NOS,LEVETIRACETAM 750MG TABS (23304X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,967680,NOS,LEVETIRACETAM 1000MG TABS (16128X600'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2784000,NOS,LEVETIRACETAM 750MG TABS (2784X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,866880,NOS,LEVETIRACETAM 250MG TABS (7224X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,840000,NOS,LEVETIRACETAM 500MG TABS (1680X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,9747,NOS,"LEVETIRACETAM 100MG/ML SOLUTION, 473ML P",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11466,NOS,LEVETIRACETAM 100MG/ML SOLUTION 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2810880,NOS,LEVETIRACETAM 750MG TABS (11712X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,1440000,NOS,LEVETIRACETAM 500MG TABS (2880X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,5058000,NOS,LEVETIRACETAM 500MG TABS (10116X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2787840,NOS,LEVETIRACETAM 750MG TABS (23232X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2822400,NOS,LEVETIRACETAM 750MG TABS (23520X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2853,NOS,LEVETIRACETAM 100MG/ML SOLUTION 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2766000,NOS,LEVETIRACETAM 750MG TABS (5532X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,731520,NOS,LEVETIRACETAM 750MG TABS (6096X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,5400000,NOS,LEVETIRACETAM 500MG TABS (45000X120'S PA,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,480000,NOS,LEVETIRACETAM 250MG TABS (960X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,576000,NOS,LEVETIRACETAM 250MG TABS (4800X120'S PAC,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2232,NOS,"LEVETIRACETAM ORAL SOLUTION 100MG/ML, 47",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11349,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11223,PAC,LEVETIRACETAMORALSOLUTION100MG/ML(473ML)LEVETIRACETAM 100MG/ML SOLUTIONNDC.: 31722-574-47,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,28632,PAC,LEVETIRACETAM 250MG TABS (120'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11448,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,10899,PAC,LEVETIRACETAMORALSOLUTION 100 MG/ML(437ML) LEVETIRACETAM 100MG/ML SOLUTION (AS PER INV & PCK LIST),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,2560320,NOS,LEVETIRACETAM 500MG TABS (21336X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,5142000,NOS,LEVETIRACETAM 500MG TABS (10284X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2566080,NOS,LEVETIRACETAM 750MG TABS (21384X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,4023,NOS,"LEVETIRACETAMORALSOLUTION 100 MG/ML(473ML) LEVETIRACETAM 100MG/ML SOLUTION (4023X PACK OF 1 S"" =4023 SOLUTION)",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2538000,NOS,LEVETIRACETAM 500MG TABS (5076X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,21120,NOS,"LEVETIRACETAM 500 MG TABS (21120 X 120 PACK""S = 2534400 TABS)",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,42000,NOS,"LEVETIRACETAM 1000 MG TABS(42000 X PACKOF 60 S"" = 2520000 TABS )",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11475,NOS,LEVETIRACETAM 100MG/ML SOLUTION 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,1701,NOS,"LEVETIRACETAM ORAL SOLUTION 100MG/ML LEVETIRACETAM 100 MG/ML SOLUTION (1701 X PACK OF 1 S"" = 1701SOLUTION)",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,23232,NOS,"LEVETIRACETAM 750 MG TABS(23232 X PACK OF 120 S"" = 2787840 TABS )",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,21960,NOS,"LEVETIRACETAM 250 MG TABS(21960 X PACK OF 120 S"" = 2635200 TABS )",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,21168,NOS,"LEVETIRACETAM 1000 MG TABS(21168 X PACKOF 60 S"" = 1270080 TABS )",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,7344,NOS,"LEVETIRACETAM 250 MG TABS(7344 X PACK OF120 S"" = 881280 TABS )",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,10062,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11160,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11457,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,1408320,NOS,LEVETIRACETAM 750MG TABS (11736X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,7641,PAC,LEVETIRACETAM ORAL SOLUTION 100MG /ML (4,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11430,PAC,LEVETIRACETAMORALSOLUTION 100MG/ML(473ML) LEVETIRACETAM 100MG/ML SOLUTION NDC:31722-574-47,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11385,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,14280,PAC,LEVETIRACETAM 250MG TABS (AS PER INV),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11367,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11394,PAC,LEVETIRACETAMORALSOLUTION 100MG(473ML) LEVETIRACETAM 100MG/ML SOLUTION NDC:31722-621,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,84024,PAC,LEVETIRACETAM 500MG TABS NDC:31722-537-12,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11421,PAC,LEVETIRACETAMORAL SOLUTION 100MG/ML(473ML) LEVETIRACETAM 100MG/ML SOLUTION NDC:31722-574-47,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,4864320,NOS,LEVETIRACETAM 500MG TABS (40536X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11295,PAC,LEVETIRACETAMORALSOLUTION100MG/ML(473ML)LEVETIRACETAM 100MG/ML SOLUTION-NDC: 31722-574-47,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,6165,PAC,LEVETIRACETAMORALSOLUTION100MG/ML(473ML)LEVETIRACETAM 100MG/ML SOLUTION-NDC.: 31722-574-47(AS PER INV),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,2556000,NOS,LEVETIRACETAM 1000MG TABS (42600X60'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,483840,NOS,LEVETIRACETAM 1000MG TABS (8064X60'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,4213440,NOS,LEVETIRACETAM 750MG TABS (35112X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,20472,PAC,LEVETIRACETAM 1000MG TABS (PACK OF 60 NOS)(1228320 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,10134,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,21096,PAC,LEVETIRACETAM 500MG TABS (120'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,7875,PAC,LEVETIRACETAMORALSOLUTION100MG/ML(473ML)LEVETIRACETAM 100MG/ML SOLUTIONS (PACKOF 1 NOS) (7875 SOLUTIONS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,41904,PAC,LEVETIRACETAM 500MG TABS (5028480 TABS)(PACK OF 120 NOS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,20832,PAC,LEVETIRACETAM 1000MG TABS (PACK OF 60 NOS) (1249920 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,16344,PAC,LEVETIRACETAM 250MG TABS (PACK OF 120 NOS) (1961280 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,960,PAC,LEVETIRACETAM 250MG TABS (500'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,8874,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,20928,PAC,LEVETIRACETAM 750MG TABS (PACK OF 120 NOS) (2511360 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,1128,PAC,LEVETIRACETAM 750MG TABS (PACK OF 120'S),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,2088,PAC,LEVETIRACETAM 750MG TABS (PACK OF 120 NOS) (250560 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11268,PAC,LEVETIRACETAMORAL SOLUTION 100MG/ML[473ML] LEVETIRACETAM 100MG/ML SOL NDC:31722-574-47 [AS PER INV],PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,5016,PAC,LEVETIRACETAM 500MG TABS (2508000 TABS)(PACK OF 500 NOS) (GST INV NO:SI3619000084 DT: 04.10.2019),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11322,PAC,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11424,PAC,LEVETIRACETAM 750MG TABS NDC:31722-538-12 [AS PER INV],PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11394,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,394560,NOS,LEVETIRACETAM 250MG TABS (3288X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,1333440,NOS,LEVETIRACETAM 750MG TABS (11112X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,489600,NOS,LEVETIRACETAM 750MG TABS (4080 X 120'SPACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,884160,NOS,LEVETIRACETAM 750MG TABS (7368X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2292000,NOS,LEVETIRACETAM 500MG TABS (4584X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11448,NOS,LEVETIRACETAM 100MG/ML SOLUTION (LEVETIRACETAM ORAL SOLUTION USP 100MG/ML 473MLPACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,276000,NOS,LEVETIRACETAM 250MG TABS (552 X 500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,1391040,NOS,LEVETIRACETAM 750MG TABS (11592X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,362880,NOS,LEVETIRACETAM 250MG TABS (3024X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,372000,NOS,LEVETIRACETAM 250MG TABS (744X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,1074240,NOS,LEVETIRACETAM 500MG TABS (8952 X 120'SPACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,967680,NOS,LEVETIRACETAM 1000MG TABS (16128X60'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,1740,PAC,LEVETIRACETAM 250MG TABS (500'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11412,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11421,PAC,LEVETIRACETAM ORAL SOLUTION 100MG/ML(473ML) LEVETIRACETAM 100MG/ML,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11352,PAC,LEVETIRACETAM 750 MG TABS (PACK OF 120 NOS) (1362240 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,531,NOS,"LEVETIRACETAM ORAL SOLUTION 100MG/ML, 47",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11358,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,34032,PAC,LEVETIRACETAM 750MG TABS (120'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11322,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,4920,PAC,LEVETIRACETAM 500MG TABS (PACK OF 500 NO,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11544,PAC,LEVETIRACETAM 750 MG TABS (PACK OF 120 NOS)(1385280 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,52608,PAC,LEVETIRACETAM 1000MG TABS (60'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,20760,PAC,LEVETIRACETAM 1000MG TABS (PACK OF 60 NOS) (1245600 TABS),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,25511,PAC,LEVETIRACETAM 750MG TABS (120'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,20880,PAC,LEVETIRACETAM 500 MG TABS-PACK OF 120S NDC:31722-537-12,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,576,PAC,LEVETIRACETAM 750MG TABS NOC 31722-538-05- PACK OF 500S - AS PER INVOICE,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,14256,PAC,LEVETIRACETAM 250MG TABS (120'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,552,PAC,LEVETIRACETAM 750MG TABS (500'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11124,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,63336,PAC,LEVETIRACETAM 1000MG TABS (60'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,22608,PAC,LEVETIRACETAM 750MG TABS (120'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,83856,PAC,LEVETIRACETAM 500MG TABS (120'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,3528000,NOS,LEVETIRACETAM 500MG TABS (7056X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2562000,NOS,LEVETIRACETAM 500MG TABS (5124X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2502000,NOS,LEVETIRACETAM 500MG TABS (5004X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,5160,PAC,LEVETIRACETAM 500 MG TABS (PACK OF 500 N,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,4576,PAC,LEVETIRACETAM 500 MG TABS ( PACK OF 500,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,2400,PAC,LEVETIRACETAM 500 MG TABS (PACK OF 500 NOS) ( 1200000 TABS) (GST INV NO: SI3619000019 DT :22/05/19),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,8119,PAC,LEVETIRACETAMORALSOLUTION100MG/ML(473ML),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,5088000,NOS,LEVETIRACETAM 500MG TABS (10176X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,2047680,NOS,LEVETIRACETAM 1000MG TABS (34128X60'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11475,PAC,LEVETIRACETAMORALSOLUTION 100 MG/ML(473ML) LEVETIRACETAM 100MG/ML SOLUTION (AS PER INV & PCK LIST),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11268,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,26424,PAC,LEVETIRACETAM 750MG TABS NDC:31722-538-12,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
